SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-26-2019,Single Family Residential,1920 Partridge Ln,Kalamazoo,MI,49009,245000,4,2.5,K22 - Oshtemo Twp,2155,11326,1997,250,114,,Sold,,,http://www.redfin.com/MI/Kalamazoo/1920-Partridge-Ln-49009/home/111957718,SW Michigan MLS,19018351,N,Y,42.2708747,-85.6723624
PAST SALE,July-26-2019,Condo/Co-op,114 Lanark Unit D,Kalamazoo,MI,49006,86000,1,1.0,K07 - Westwood-NW Kalamazo,724,,1972,250,119,203,Sold,,,http://www.redfin.com/MI/Kalamazoo/114-Lanark-Ct-49006/unit-D/home/111969526,SW Michigan MLS,19026120,N,Y,42.293705,-85.622635
PAST SALE,July-24-2019,Single Family Residential,626 Harway Ave,Kalamazoo,MI,49048,67400,2,1.0,K13 - Comstock & Charleston,832,3920,1930,252,81,,Sold,,,http://www.redfin.com/MI/Kalamazoo/626-Harway-Ave-49048/home/96418743,SW Michigan MLS,19022433,N,Y,42.2827409,-85.5226996
PAST SALE,July-30-2019,Single Family Residential,7881 E Ml Ave,Kalamazoo,MI,49048,217500,4,2.0,K13 - Comstock & Charleston,2792,37200,1958,246,78,,Sold,,,http://www.redfin.com/MI/Kalamazoo/7881-E-ML-Ave-49048/home/96253160,SW Michigan MLS,19021525,N,Y,42.2671038,-85.4752226
PAST SALE,August-2-2019,Single Family Residential,335 Summerset Dr,Kalamazoo,MI,49009,270000,4,3.0,K22 - Oshtemo Twp,3000,50965,1997,243,90,,Sold,,,http://www.redfin.com/MI/Kalamazoo/335-Summerset-Dr-49009/home/96246030,SW Michigan MLS,19037750,N,Y,42.2911329,-85.740365
PAST SALE,July-22-2019,Single Family Residential,437 Homecrest Ave,Kalamazoo,MI,49001,165000,4,1.5,K01 - Milwood,1942,11761,1968,254,85,,Sold,,,http://www.redfin.com/MI/Kalamazoo/437-Homecrest-Ave-49001/home/96357071,SW Michigan MLS,19024398,N,Y,42.2657375,-85.5749668
PAST SALE,,Single Family Residential,2144 Oakland Dr,Kalamazoo,MI,49008,250000,,,,,7841,,,,,,,,http://www.redfin.com/MI/Kalamazoo/2144-Oakland-Dr-49008/home/96184442,,,N,Y,42.2696459,-85.6089476
PAST SALE,July-26-2019,Single Family Residential,2336 Midvale Ter,Kalamazoo,MI,49008,385000,4,4.0,K02 - Westnedge Hill,4400,10019,1926,250,88,,Sold,,,http://www.redfin.com/MI/Kalamazoo/2336-Midvale-Ter-49008/home/96126296,SW Michigan MLS,19026542,N,Y,42.2677069,-85.5923442
PAST SALE,September-12-2019,Single Family Residential,3325 Springfield Ave,Kalamazoo,MI,49048,17000,2,1.0,K12 - East to Twp Line Eastwood,712,6160,1930,202,24,,Sold,,,http://www.redfin.com/MI/Kalamazoo/3325-Springfield-Ave-49048/home/111950382,SW Michigan MLS,19041168,N,Y,42.2789017,-85.5385898
PAST SALE,September-12-2019,Single Family Residential,1404 N Edwards St,Kalamazoo,MI,49007,6700,4,1.0,K08 - N Side w/in City Limits,1341,8712,1885,202,5,,Sold,,,http://www.redfin.com/MI/Kalamazoo/1404-N-Edwards-St-49007/home/96159149,SW Michigan MLS,19040402,N,Y,42.3055562,-85.5808768
PAST SALE,July-30-2019,Single Family Residential,1551 Trails End St,Kalamazoo,MI,49001,133999,3,1.5,K01 - Milwood,2174,,1950,246,62,,Sold,,,http://www.redfin.com/MI/Kalamazoo/1551-Trails-End-St-49001/home/96158746,SW Michigan MLS,19024425,N,Y,42.2670652,-85.5609285
PAST SALE,September-20-2019,Single Family Residential,8561 Western Woods Dr,Kalamazoo,MI,49009,353900,4,3.0,K22 - Oshtemo Twp,2395,23522,2019,194,148,,Sold,,,http://www.redfin.com/MI/Kalamazoo/8561-Western-Woods-Dr-49009/home/168735213,SW Michigan MLS,19038816,N,Y,42.2975186,-85.7239505
PAST SALE,September-23-2019,Single Family Residential,607 Mabel St,Kalamazoo,MI,49007,49900,3,1.0,K08 - N Side w/in City Limits,1125,11587,1904,191,44,,Sold,,,http://www.redfin.com/MI/Kalamazoo/607-Mabel-St-49007/home/111972820,SW Michigan MLS,19036449,N,Y,42.3005479,-85.5917372
PAST SALE,August-21-2019,Single Family Residential,5784 Castleton Ln,Kalamazoo,MI,49009,175000,3,2.0,K22 - Oshtemo Twp,1248,14549,1968,224,140,,Sold,,,http://www.redfin.com/MI/Kalamazoo/5784-Castleton-Ln-49009/home/96364291,SW Michigan MLS,19033653,N,Y,42.2728248,-85.6639362
PAST SALE,August-13-2019,Single Family Residential,1841 Cumberland St,Kalamazoo,MI,49006,175329,4,1.5,K07 - Westwood-NW Kalamazo,1700,12937,1986,232,103,,Sold,,,http://www.redfin.com/MI/Kalamazoo/1841-Cumberland-St-49006/home/96184808,SW Michigan MLS,19033562,N,Y,42.3107028,-85.6430453
PAST SALE,,Single Family Residential,714 Piccadilly Rd,Kalamazoo,MI,49006,176000,,,,,9583,,,,,,,,http://www.redfin.com/MI/Kalamazoo/714-Piccadilly-Rd-49006/home/96246104,,,N,Y,42.2984385,-85.6436877
PAST SALE,August-5-2019,Single Family Residential,314 Creston Ave,Kalamazoo,MI,49001,160500,2,1.0,K02 - Westnedge Hill,1261,6534,1928,240,127,,Sold,,,http://www.redfin.com/MI/Kalamazoo/314-Creston-Ave-49001/home/96385362,SW Michigan MLS,19029257,N,Y,42.2662221,-85.5864328
PAST SALE,September-20-2019,Single Family Residential,1745 Grove St St,Kalamazoo,MI,49006,130000,2,1.0,K07 - Westwood-NW Kalamazo,1560,6970,1950,194,83,,Sold,,,http://www.redfin.com/MI/Kalamazoo/1745-Grove-St-49006/home/96159853,SW Michigan MLS,19040059,N,Y,42.2920601,-85.6108605
PAST SALE,,Condo/Co-op,41221 Cardinal St #4,Mattawan,MI,49071,172000,,,,,,,,,,,,,http://www.redfin.com/MI/Mattawan/41221-Cardinal-St-49071/unit-4/home/137042786,,,N,Y,42.2693389,-85.7715924
PAST SALE,,Single Family Residential,2838 Virginia Ave,Kalamazoo,MI,49004,117400,,,,,15246,,,,,,,,http://www.redfin.com/MI/Kalamazoo/2838-Virginia-Ave-49004/home/96694536,,,N,Y,42.3197701,-85.5593509
PAST SALE,September-26-2019,Single Family Residential,1517 Sunnyside Dr,Kalamazoo,MI,49048,99900,2,1.0,K12 - East to Twp Line Eastwood,716,5793,1932,188,140,,Sold,,,http://www.redfin.com/MI/Kalamazoo/1517-Sunnyside-Dr-49048/home/96284454,SW Michigan MLS,19038595,N,Y,42.3065669,-85.5436575
PAST SALE,October-4-2019,Single Family Residential,1225 S Burdick St,Kalamazoo,MI,49001,73000,3,2.0,K10 - Edison/Washington Sq,1434,6534,1911,180,51,,Sold,,,http://www.redfin.com/MI/Kalamazoo/1225-S-Burdick-St-49001/home/96324932,SW Michigan MLS,19033128,N,Y,42.2792938,-85.5827646
PAST SALE,October-28-2019,Single Family Residential,742 Mc Courtie St,Kalamazoo,MI,49008,67000,3,1.0,K09 - Dntown S To Crosstown,1166,3049,1915,156,57,,Sold,,,http://www.redfin.com/MI/Kalamazoo/742-McCourtie-St-49008/home/96196970,SW Michigan MLS,19043434,N,Y,42.2780792,-85.5939471
PAST SALE,October-9-2019,Multi-Family (2-4 Unit),609 Prairie Ave,Kalamazoo,MI,49006,110000,3,2.0,K08 - N Side w/in City Limits,,7231,1896,175,,,Sold,,,http://www.redfin.com/MI/Kalamazoo/609-Prairie-Ave-49006/home/96279991,SW Michigan MLS,19041329,N,Y,42.2968656,-85.6084303
PAST SALE,,Single Family Residential,6540 Sunburst Dr,Portage,MI,49024,205000,,,,,13068,,,,,,,,http://www.redfin.com/MI/Portage/6540-Sunburst-Dr-49024/home/111962787,,,N,Y,42.2225045,-85.6381455
PAST SALE,November-25-2019,Single Family Residential,5605 Comstock Ave,Kalamazoo,MI,49048,95100,4,2.0,K13 - Comstock & Charleston,1834,14810,1957,128,52,,Sold,,,http://www.redfin.com/MI/Kalamazoo/5605-Comstock-Ave-49048/home/96440710,SW Michigan MLS,19049471,N,Y,42.284117,-85.5195613
PAST SALE,November-1-2019,Single Family Residential,2324 Cumberland St,Kalamazoo,MI,49006,140000,3,1.5,K07 - Westwood-NW Kalamazo,1610,9372,1962,152,87,,Sold,,,http://www.redfin.com/MI/Kalamazoo/2324-Cumberland-St-49006/home/96467191,SW Michigan MLS,19046218,N,Y,42.3144331,-85.6425838
PAST SALE,,Single Family Residential,1612 Palmer Ave,Kalamazoo,MI,49001,72000,,,,,5663,,,,,,,,http://www.redfin.com/MI/Kalamazoo/1612-Palmer-Ave-49001/home/111958394,,,N,Y,42.2697353,-85.5599033
PAST SALE,,Single Family Residential,21 Inkster Ave,Kalamazoo,MI,49001,170000,,,,,18295,,,,,,,,http://www.redfin.com/MI/Kalamazoo/21-Inkster-Ave-49001/home/111966745,,,N,Y,42.2666899,-85.5806055
PAST SALE,May-31-2019,Single Family Residential,1628 E Alcott St,Kalamazoo,MI,49001,88000,3,1.0,K10 - Edison/Washington Sq,1172,16500,1912,306,75,,Sold,,,http://www.redfin.com/MI/Kalamazoo/1628-E-Alcott-St-49001/home/111970550,SW Michigan MLS,18057086,N,Y,42.2706927,-85.5592859
PAST SALE,November-20-2019,Single Family Residential,35750 22nd St,Kalamazoo,MI,49009,65100,2,1.0,K81 - Waverly & Almena Twp,1380,20909,1960,133,47,,Sold,,,http://www.redfin.com/MI/Kalamazoo/35750-22nd-St-49009/home/96316284,SW Michigan MLS,19053310,N,Y,42.2891216,-85.7680863
PAST SALE,,Single Family Residential,23544 Humming Bird Ave,Mattawan,MI,49071,215000,,,,,43616,,,,,,,,http://www.redfin.com/MI/Mattawan/23544-Humming-Bird-Ave-49071/home/96312008,,,N,Y,42.2687587,-85.7813609
PAST SALE,,Condo/Co-op,5102 Green Meadow Rd,Kalamazoo,MI,49009,125000,,,,,,,,,,,,,http://www.redfin.com/MI/Kalamazoo/5102-Green-Meadow-Rd-49009/home/96693368,,,N,Y,42.2845339,-85.6499735
PAST SALE,,Single Family Residential,2713 Cimarron Dr,Kalamazoo,MI,49004,115000,,,,,7841,,,,,,,,http://www.redfin.com/MI/Kalamazoo/2713-Cimarron-Dr-49004/home/111951819,,,N,Y,42.3182268,-85.5640332
PAST SALE,,Single Family Residential,1734 Sunnyside Dr,Kalamazoo,MI,49048,58500,,,,,8276,,,,,,,,http://www.redfin.com/MI/Kalamazoo/1734-Sunnyside-Dr-49048/home/96421540,,,N,Y,42.308427,-85.5430944
PAST SALE,,Single Family Residential,217 Ermine Ave,Kalamazoo,MI,49048,120000,,,,,8712,,,,,,,,http://www.redfin.com/MI/Kalamazoo/217-Ermine-Ave-49048/home/111958736,,,N,Y,42.2863452,-85.5067646
PAST SALE,December-6-2019,Single Family Residential,1706 Clinton Ave,Kalamazoo,MI,49001,57400,2,1.0,K10 - Edison/Washington Sq,888,3960,1928,117,65,,Sold,,,http://www.redfin.com/MI/Kalamazoo/1706-Clinton-Ave-49001/home/96131416,SW Michigan MLS,19048964,N,Y,42.2752921,-85.5591659
PAST SALE,December-5-2019,Single Family Residential,1419 Olmstead Rd,Kalamazoo,MI,49048,84000,3,1.0,K10 - Edison/Washington Sq,1113,21631,1920,118,75,,Sold,,,http://www.redfin.com/MI/Kalamazoo/1419-Olmstead-Rd-49048/home/96254835,SW Michigan MLS,19043316,N,Y,42.277293,-85.539716
PAST SALE,,Single Family Residential,5632 Castleton Ln,Kalamazoo,MI,49009,130000,,,,,13939,,,,,,,,http://www.redfin.com/MI/Kalamazoo/5632-Castleton-Ln-49009/home/96245878,,,N,Y,42.2732413,-85.6605404
PAST SALE,,Condo/Co-op,2451 Quail Run Dr,Kalamazoo,MI,49009,115000,,,,,,,,,,,,,http://www.redfin.com/MI/Kalamazoo/2451-Quail-Run-Dr-49009/home/96271611,,,N,Y,42.2666604,-85.6661439
PAST SALE,December-20-2019,Multi-Family (2-4 Unit),137 E Frank St,Kalamazoo,MI,49007,85000,4,2.0,K08 - N Side w/in City Limits,,45651,1906,103,,,Sold,,,http://www.redfin.com/MI/Kalamazoo/137-E-Frank-St-49007/home/96718982,SW Michigan MLS,19039940,N,Y,42.299147,-85.5821893
PAST SALE,December-20-2019,Single Family Residential,2121 Frederick Ave,Kalamazoo,MI,49008,206000,3,2.0,K05 - Winchell & Hillcrest,1935,8712,1959,103,106,,Sold,,,http://www.redfin.com/MI/Kalamazoo/2121-Frederick-Ave-49008/home/96680864,SW Michigan MLS,19050909,N,Y,42.270201,-85.620496
PAST SALE,December-31-2019,Single Family Residential,5900 Francis St,Kalamazoo,MI,49048,69500,2,1.0,K13 - Comstock & Charleston,1017,5227,1959,92,68,,Sold,,,http://www.redfin.com/MI/Kalamazoo/5900-Francis-St-49048/home/96274891,SW Michigan MLS,19038692,N,Y,42.2822171,-85.5137066
PAST SALE,,Single Family Residential,10054 Almena Dr,Kalamazoo,MI,49009,185000,,,,,413820,,,,,,,,http://www.redfin.com/MI/Kalamazoo/10054-Almena-Dr-49009/home/111945341,,,N,Y,42.2861499,-85.7464588
PAST SALE,,Single Family Residential,1403 Sherwood Ave,Kalamazoo,MI,49048,50000,,,,,8712,,,,,,,,http://www.redfin.com/MI/Kalamazoo/1403-Sherwood-Ave-49048/home/96194734,,,N,Y,42.2973076,-85.562632
PAST SALE,,Single Family Residential,5762 Lamplighter Ln,Kalamazoo,MI,49009,179914,,,,,16117,,,,,,,,http://www.redfin.com/MI/Kalamazoo/5762-Lamplighter-Ln-49009/home/96582443,,,N,Y,42.2721272,-85.663274
PAST SALE,March-6-2020,Single Family Residential,1015 Hotop Ave,Kalamazoo,MI,49048,41000,4,2.0,K12 - East to Twp Line Eastwood,1364,4356,1910,26,30,,Sold,,,http://www.redfin.com/MI/Kalamazoo/1015-Hotop-Ave-49048/home/96397151,SW Michigan MLS,20005781,N,Y,42.2985329,-85.5679628
