SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1120 Hol Hi Dr,Kalamazoo,MI,49008,255000,4,2.5,K03 - Westnedge-Whites Rd,2652,17424,1959,36,96,,Active,,,http://www.redfin.com/MI/Kalamazoo/1120-Hol-Hi-Dr-49008/home/96134374,SW Michigan MLS,19055265,N,Y,42.2592935,-85.5988529
MLS Listing,,Single Family Residential,3032 Vanderbilt Ave,Portage,MI,49024,224900,3,1.0,K20 - South Portage,2994,130680,1958,38,75,,Active,,,http://www.redfin.com/MI/Portage/3032-Vanderbilt-Ave-49024/home/96406770,SW Michigan MLS,19055192,N,Y,42.1830131,-85.6250953
MLS Listing,,Single Family Residential,1713 E Cork St,Kalamazoo,MI,49001,145000,3,2.5,K01 - Milwood,2151,5750,1939,38,67,,Active,,,http://www.redfin.com/MI/Kalamazoo/1713-E-Cork-St-49001/home/96244159,SW Michigan MLS,19055164,N,Y,42.2597669,-85.5585765
MLS Listing,,Single Family Residential,3915 Riley Rdg,Portage,MI,49024,319900,3,2.5,K19 - North Portage,2326,14810,2016,38,138,18,Active,,,http://www.redfin.com/MI/Portage/3915-Riley-Rdg-49024/home/109320967,SW Michigan MLS,19055149,N,Y,42.2318437,-85.6363218
MLS Listing,,Single Family Residential,6160 Saddle Ridge Ct,Kalamazoo,MI,49009,399900,5,3.5,K25 - Texas Township,4160,23226,2005,38,96,137,Active,,,http://www.redfin.com/MI/Kalamazoo/6160-Saddle-Ridge-Ct-49009/home/96339377,SW Michigan MLS,19055088,N,Y,42.2034358,-85.6714596
MLS Listing,,Single Family Residential,1308 Howland Ave,Kalamazoo,MI,49001,158900,3,1.0,K01 - Milwood,1434,14810,1936,39,111,,Active,,,http://www.redfin.com/MI/Kalamazoo/1308-Howland-Ave-49001/home/96144033,SW Michigan MLS,19055004,N,Y,42.2585077,-85.5637649
MLS Listing,,Single Family Residential,7289 Hunters Ridge Dr,Kalamazoo,MI,49009,299900,4,2.5,K25 - Texas Township,3035,15682,2000,39,99,,Active,,,http://www.redfin.com/MI/Kalamazoo/7289-Hunters-Ridge-Dr-49009/home/96612166,SW Michigan MLS,19054913,N,Y,42.211428,-85.653649
MLS Listing,,Single Family Residential,2108 Cork St,Kalamazoo,MI,49001,79999,4,1.0,K01 - Milwood,1290,15246,1924,40,62,,Active,,,http://www.redfin.com/MI/Kalamazoo/2108-E-Cork-St-49001/home/96282760,SW Michigan MLS,19054861,N,Y,42.2592956,-85.5533493
MLS Listing,,Single Family Residential,6697 Oleander Ln,Portage,MI,49024,749799,6,6.0,K19 - North Portage,6753,26571,2001,40,111,25,Active,,,http://www.redfin.com/MI/Portage/6697-Oleander-Ln-49024/home/96266420,SW Michigan MLS,19054855,N,Y,42.2188239,-85.6306797
MLS Listing,,Single Family Residential,7448 Texas Heights Ave,Kalamazoo,MI,49009,224900,3,2.5,K25 - Texas Township,1744,17380,1999,40,129,,Active,,,http://www.redfin.com/MI/Kalamazoo/7448-Texas-Heights-Ave-49009/home/96134861,SW Michigan MLS,19054805,N,Y,42.1973133,-85.6954674
